"reasons__count","reasons__items__summary","reasons__items__type","reasons__items__reasonName","venue__id","venue__name","venue__location__address","venue__location__lat","venue__location__lng","venue__location__labeledLatLngs__label","venue__location__labeledLatLngs__lat","venue__location__labeledLatLngs__lng","venue__location__distance","venue__location__postalCode","venue__location__cc","venue__location__city","venue__location__state","venue__location__country","venue__location__formattedAddress__001","venue__location__formattedAddress__002","venue__location__formattedAddress__003","venue__categories__id","venue__categories__name","venue__categories__pluralName","venue__categories__shortName","venue__categories__icon__prefix","venue__categories__icon__suffix","venue__categories__primary","venue__photos__count","referralId","venue__location__crossStreet","venue__venuePage__id"
"0","This spot is popular","general","globalInteractionReason","4cdfc87effcf370414001c82","Lungomare Trieste","Lungomare Trieste","40.67679759855568","14.762277603149414","display","40.67679759855568","14.762277603149414","802","84122","IT","Salerno","Campania","Italia","Lungomare Trieste","84122 Salerno Campania","Italia","56aa371be4b08b9a8d5734c3","Waterfront","Waterfronts","Waterfront","https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_",".png","True","0","e-0-4cdfc87effcf370414001c82-0","",""
"0","This spot is popular","general","globalInteractionReason","4b8018e2f964a520e85130e3","Bar Nettuno","Lungomare Trieste, 136","40.6766862606864","14.762688245560069","display","40.6766862606864","14.762688245560069","792","84121","IT","Salerno","Campania","Italia","Lungomare Trieste, 136","84121 Salerno Campania","Italia","4bf58dd8d48988d1c9941735","Ice Cream Shop","Ice Cream Shops","Ice Cream","https://ss3.4sqi.net/img/categories_v2/food/icecream_",".png","True","0","e-0-4b8018e2f964a520e85130e3-1","",""
"0","This spot is popular","general","globalInteractionReason","578fcdbecd10f99c799f11c4","Criscemunno","via Romualdo II","40.680445320560835","14.759443811286976","display","40.680445320560835","14.759443811286976","766","84121","IT","Salerno","Campania","Italia","via Romualdo II","84121 Salerno Campania","Italia","4bf58dd8d48988d1ca941735","Pizza Place","Pizza Places","Pizza","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","True","0","e-0-578fcdbecd10f99c799f11c4-2","",""
"0","This spot is popular","general","globalInteractionReason","4c82a7ba51ada1cdc4c91e10","Osteria Angolo Masuccio","Via Masuccio Salernitano","40.677633461823234","14.761259260225401","display","40.677633461823234","14.761259260225401","792","","IT","Salerno","Campania","Italia","Via Masuccio Salernitano","Salerno Campania","Italia","4bf58dd8d48988d110941735","Italian Restaurant","Italian Restaurants","Italian","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","True","0","e-0-4c82a7ba51ada1cdc4c91e10-3","",""
"0","This spot is popular","general","globalInteractionReason","4f9c0159e4b008dde16820cb","Spiaggia Santa Teresa","","40.67756858124373","14.755689797472717","display","40.67756858124373","14.755689797472717","1183","","IT","Salerno","Campania","Italia","Salerno Campania","Italia","","4bf58dd8d48988d1e2941735","Beach","Beaches","Beach","https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_",".png","True","0","e-0-4f9c0159e4b008dde16820cb-4","",""
"0","This spot is popular","general","globalInteractionReason","56103cf5498e239b1e7208af","La Smorfia","Piazza Alfano I, 5","40.68022","14.75943","display","40.68022","14.75943","775","84121","IT","Salerno","Campania","Italia","Piazza Alfano I, 5","84121 Salerno Campania","Italia","4bf58dd8d48988d1ca941735","Pizza Place","Pizza Places","Pizza","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","True","0","e-0-56103cf5498e239b1e7208af-5","",""
"0","This spot is popular","general","globalInteractionReason","4ee293bd5c5cfd2133f7c8ad","L'unico","","40.67874794166573","14.75924972183761","display","40.67874794166573","14.75924972183761","856","","IT","Salerno","Campania","Italia","Salerno Campania","Italia","","4bf58dd8d48988d11e941735","Cocktail Bar","Cocktail Bars","Cocktail","https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_",".png","True","0","e-0-4ee293bd5c5cfd2133f7c8ad-6","",""
"0","This spot is popular","general","globalInteractionReason","4d1dcbdf2d5f8eecd88078cc","Piazza Flavio Gioia, La Rotonda","Piazza Flavio Gioia","40.67749361716722","14.763062190869434","display","40.67749361716722","14.763062190869434","701","84100","IT","Salerno","Campania","Italia","Piazza Flavio Gioia","84100 Salerno Campania","Italia","4bf58dd8d48988d164941735","Plaza","Plazas","Plaza","https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_",".png","True","0","e-0-4d1dcbdf2d5f8eecd88078cc-7","",""
"0","This spot is popular","general","globalInteractionReason","4c30e51b09a99c748d2b0b2a","l'Office","Corso Vittorio Emanuele","40.67800182394569","14.763162732124329","display","40.67800182394569","14.763162732124329","651","","IT","Salerno","Campania","Italia","Corso Vittorio Emanuele (Via Torretta)","Salerno Campania","Italia","4bf58dd8d48988d11e941735","Cocktail Bar","Cocktail Bars","Cocktail","https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_",".png","True","0","e-0-4c30e51b09a99c748d2b0b2a-8","Via Torretta",""
"0","This spot is popular","general","globalInteractionReason","4c97bee6f7cfa1cde00ad115","Saltimbocca News","via torrione","40.67307094401789","14.77634439550996","display","40.67307094401789","14.77634439550996","1257","84123","IT","Salerno","Campania","Italia","via torrione","84123 Salerno Campania","Italia","4bf58dd8d48988d1c5941735","Sandwich Place","Sandwich Places","Sandwiches","https://ss3.4sqi.net/img/categories_v2/food/deli_",".png","True","0","e-0-4c97bee6f7cfa1cde00ad115-9","",""
"0","This spot is popular","general","globalInteractionReason","4d69840f60366a3153535106","Ristorante Cicirinella","Via Antonio Genovesi, 28","40.679813207991","14.760750450425903","display","40.679813207991","14.760750450425903","689","84121","IT","Salerno","Campania","Italia","Via Antonio Genovesi, 28","84121 Salerno Campania","Italia","4bf58dd8d48988d110941735","Italian Restaurant","Italian Restaurants","Italian","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","True","0","e-0-4d69840f60366a3153535106-10","",""
